Emoji,final,final_categories
🍕,H,FOOD & DRINKS
💸 ,C,MONEY
🍻,H,FOOD & DRINKS
🏠,U,HOME
🍺 ,H,FOOD & DRINKS
🎉,H,"CELEBRATIONS, FESTIVALS & EVENTS"
❤ ,C,EMOTIONS
🍷 ,H,FOOD & DRINKS
🌮 ,H,FOOD & DRINKS
🔥,C,CONTEXT NEEDED
🍾,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 🔌 ,U,HOME
 ☕ ,C,FOOD & DRINKS
🍹 ,H,FOOD & DRINKS
 💦 ,U,HOME
🏈 ,H,ENTERTAINMENT
🍴 ,C,FOOD & DRINKS
🍔 ,H,FOOD & DRINKS
 😘 ,C,EMOTIONS
 ⛽ ,U,HOME
💡 ,U,HOME
🚗 ,U,TRANSPORTATION
 ⚡ ,U,HOME
🍣 ,H,FOOD & DRINKS
🍗 ,C,FOOD & DRINKS
 🎁 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍜 ,H,FOOD & DRINKS
 🏀 ,H,ENTERTAINMENT
 🍸 ,H,FOOD & DRINKS
🍆 ,U,FOOD & DRINKS
 💵 ,C,FOOD & DRINKS
 🍳 ,U,FOOD & DRINKS
 🍟 ,H,FOOD & DRINKS
🚕 ,U,TRANSPORTATION
 🍪 ,H,FOOD & DRINKS
 🌯 ,H,FOOD & DRINKS
 🏡 ,U,HOME
📺 ,U,HOME
 💩 ,C,CONTEXT NEEDED
 💕 ,C,EMOTIONS
 💰 ,C,MONEY
✈ ,U,TRANSPORTATION
 🐶 ,H,ANIMALS
 💻 ,U,HOME
 ⚾ ,H,ENTERTAINMENT
🍞,U,FOOD & DRINKS
 🎂 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 🥂 ,H,FOOD & DRINKS
 😎 ,C,EMOTIONS
 👕 ,U,FASHION
🐔,C,FOOD & DRINKS
🍦 ,H,FOOD & DRINKS
 😍 ,C,EMOTIONS
 🍩 ,H,FOOD & DRINKS
 🧀 ,H,FOOD & DRINKS
 📱 ,U,HOME
🍝 ,H,FOOD & DRINKS
 👯 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
😊 ,C,EMOTIONS
 🎄,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 ⛳ ,H,ENTERTAINMENT
🚙 ,U,TRANSPORTATION
 🍚 ,U,FOOD & DRINKS
 🍲 ,H,FOOD & DRINKS
 🎥 ,H,ENTERTAINMENT
😋 ,C,EMOTIONS
 ✨ ,C,CONTEXT NEEDED
